species_id,group_name,invname,comname,alt_status,sciname,status_category,region_name,id,abbrev,region_num,region_desc,vip,status
6714,Flowering Plants,"Bush-mallow, San Clemente Island",San Clemente Island bush-mallow,Proposed Delisting,Malacothamnus clementinus,Listed,Region 8,762,Wherever found,8,Pacific Southwest Region,P,Endangered
5506,Flowering Plants,"Orcutt grass, San Joaquin",San Joaquin Orcutt grass,,Orcuttia inaequalis,Listed,Region 8,786,Wherever found,8,Pacific Southwest Region,P,Threatened
255,Flowering Plants,No common name,No common name,,Phyllostegia parviflora,Listed,Region 1,591,Wherever found,1,Pacific Region,P,Endangered
109,Flowering Plants,Mehamehame,Mehamehame,,Flueggea neowawraea,Listed,Region 1,1117,Wherever found,1,Pacific Region,P,Endangered
2643,Flowering Plants,`Akoko,`Akoko,,Euphorbia remyi var. kauaiensis,Listed,Region 1,3871,Wherever found,1,Pacific Region,P,Endangered
5226,Flowering Plants,Kiponapona,Kiponapona,,Phyllostegia racemosa,Listed,Region 1,1136,Wherever found,1,Pacific Region,P,Endangered
2921,Flowering Plants,Kolea,Kolea,,Myrsine linearifolia,Listed,Region 1,577,Wherever found,1,Pacific Region,P,Threatened
8432,Flowering Plants,`Akoko,`Akoko,,Euphorbia haeleeleana,Listed,Region 1,549,Wherever found,1,Pacific Region,P,Endangered
4226,Flowering Plants,`Anunu,`Anunu,,Sicyos albus,Listed,Region 1,1151,Wherever found,1,Pacific Region,P,Endangered
2858,Flowering Plants,"Mariposa lily, Tiburon",Tiburon mariposa lily,,Calochortus tiburonensis,Listed,Region 8,652,Wherever found,8,Pacific Southwest Region,P,Threatened
6310,Flowering Plants,"Seablite, California",California seablite,,Suaeda californica,Listed,Region 8,1164,,8,Pacific Southwest Region,P,Endangered
698,Flowering Plants,"Glade cress, Kentucky",Kentucky glade cress,,Leavenworthia exigua laciniata,Listed,Region 4,7167,Wherever found,4,Southeast Region,P,Threatened
1890,Flowering Plants,"Pogonia, small whorled",Small whorled pogonia,,Isotria medeoloides,Listed,Region 5,742,,5,Northeast Region,P,Threatened
8739,Ferns and Allies,"fern, Florida bristle",Florida bristle fern,,Trichomanes punctatum ssp. floridanum,Listed,Region 4,9721,,4,Southeast Region,P,Endangered
4342,Flowering Plants,"Dudleya, Verity's",Verity's dudleya,,Dudleya verityi,Listed,Region 8,1025,Wherever found,8,Pacific Southwest Region,P,Threatened
7782,Flowering Plants,"Pentachaeta, white-rayed",White-rayed pentachaeta,,Pentachaeta bellidiflora,Listed,Region 8,979,Wherever found,8,Pacific Southwest Region,P,Endangered
5704,Flowering Plants,"Checker-mallow, Keck's",Keck's Checker-mallow,,Sidalcea keckii,Listed,Region 8,610,Wherever found,8,Pacific Southwest Region,P,Endangered
5971,Flowering Plants,"Mesa-mint, San Diego",San Diego mesa-mint,,Pogogyne abramsii,Listed,Region 8,802,Wherever found,8,Pacific Southwest Region,P,Endangered
4334,Flowering Plants,No common name,No common name,,Lobelia monostachya,Listed,Region 1,965,Wherever found,1,Pacific Region,P,Endangered
8439,Flowering Plants,"Milk-vetch, Sentry",Sentry milk-vetch,,Astragalus cremnophylax var. cremnophylax,Listed,Region 2,638,Wherever found,2,Southwest Region,P,Endangered
4576,Ferns and Allies,No common name,No common name,,Asplenium dielmannii,Listed,Region 1,7529,Wherever found,1,Pacific Region,P,Endangered
1334,Flowering Plants,"Navarretia, spreading",Spreading navarretia,,Navarretia fossalis,Listed,Region 8,972,Wherever found,8,Pacific Southwest Region,P,Threatened
3591,Flowering Plants,Ha`iwale,Ha`iwale,,Cyrtandra sessilis,Listed,Region 1,2273,Wherever found,1,Pacific Region,P,Endangered
4205,Flowering Plants,"Piperia, Yadon's",Yadon's piperia,,Piperia yadonii,Listed,Region 8,1171,Wherever found,8,Pacific Southwest Region,P,Endangered
6730,Flowering Plants,No common name,No common name,,Phyllostegia wawrana,Listed,Region 1,1139,Wherever found,1,Pacific Region,P,Endangered
6447,Flowering Plants,"Bird's-beak, salt marsh",Salt marsh bird's-beak,,Cordylanthus maritimus ssp. maritimus,Listed,Region 8,678,Wherever found,8,Pacific Southwest Region,P,Endangered
3191,Flowering Plants,No common name,No common name,,Stenogyne kealiae,Listed,Region 1,2517,Wherever found,1,Pacific Region,P,Endangered
4070,Flowering Plants,Heau,Heau,,Exocarpos luteolus,Listed,Region 1,938,Wherever found,1,Pacific Region,P,Endangered
563,Flowering Plants,"Manzanita, Santa Rosa Island",Santa Rosa Island manzanita,,Arctostaphylos confertiflora,Listed,Region 8,503,Wherever found,8,Pacific Southwest Region,P,Endangered
7611,Flowering Plants,Alani,Alani,,Melicope lydgatei,Listed,Region 1,768,Wherever found,1,Pacific Region,P,Endangered
5209,Flowering Plants,"Bedstraw, El Dorado",El Dorado bedstraw,,Galium californicum ssp. sierrae,Listed,Region 8,553,Wherever found,8,Pacific Southwest Region,P,Endangered
7219,Flowering Plants,Haha,Haha,,Cyanea purpurellifolia,Listed,Region 1,1636,Wherever found,1,Pacific Region,P,Endangered
4668,Flowering Plants,Alani,Alani,,Melicope knudsenii,Listed,Region 1,767,Wherever found,1,Pacific Region,P,Endangered
6337,Flowering Plants,"Bedstraw, island",Island bedstraw,,Galium buxifolium,Listed,Region 8,552,Wherever found,8,Pacific Southwest Region,P,Endangered
7799,Flowering Plants,"Cactus, Bakersfield",Bakersfield cactus,,Opuntia treleasei,Listed,Region 8,1082,Wherever found,8,Pacific Southwest Region,P,Endangered
1597,Flowering Plants,No common name,No common name,,Schiedea spergulina var. leiopoda,Listed,Region 1,1069,Wherever found,1,Pacific Region,P,Endangered
9762,Flowering Plants,No common name,No common name,,Tuberolabium guamense,Listed,Region 1,10728,Wherever found,1,Pacific Region,P,Threatened
8521,Flowering Plants,"Iagu, Hayun (=(Guam), Tronkon guafi (Rota))","Hayun Iagu (=(Guam), Tronkon guafi (Rota))",,Serianthes nelsonii,Listed,Region 1,1038,Wherever found,1,Pacific Region,P,Endangered
5295,Flowering Plants,"monkey-flower, Michigan",Michigan monkey-flower,,Mimulus michiganensis,Listed,Region 3,969,Wherever found,3,Midwest Region,P,Endangered
4915,Flowering Plants,Opuhe,Opuhe,,Urera kaalae,Listed,Region 1,860,Wherever found,1,Pacific Region,P,Endangered
6577,Flowering Plants,Alani,Alani,,Melicope hiiakae,Listed,Region 1,4377,Wherever found,1,Pacific Region,P,Endangered
6832,Flowering Plants,"Tarplant, Santa Cruz",Santa Cruz tarplant,,Holocarpha macradenia,Listed,Region 8,562,Wherever found,8,Pacific Southwest Region,P,Threatened
5230,Flowering Plants,No common name,No common name,,Schiedea attenuata,Listed,Region 1,2404,Wherever found,1,Pacific Region,P,Endangered
1069,Flowering Plants,"Silversword, Mauna Loa (=Ka'u)",Mauna Loa (=Ka'u) silversword,,Argyroxiphium kauense,Listed,Region 1,634,Wherever found,1,Pacific Region,P,Endangered
4669,Flowering Plants,"Naupaka, dwarf",Dwarf naupaka,,Scaevola coriacea,Listed,Region 1,820,Wherever found,1,Pacific Region,P,Endangered
4189,Flowering Plants,No common name,No common name,,Silene hawaiiensis,Listed,Region 1,1001,Wherever found,1,Pacific Region,P,Threatened
6004,Flowering Plants,No common name,No common name,,Hesperomannia arborescens,Listed,Region 1,731,Wherever found,1,Pacific Region,P,Endangered
5700,Flowering Plants,"Fleabane, Zuni",Zuni fleabane,,Erigeron rhizomatus,Listed,Region 2,707,Wherever found,2,Southwest Region,P,Threatened
3991,Flowering Plants,"Morning-glory, Stebbins'",Stebbins' morning-glory,,Calystegia stebbinsii,Listed,Region 8,520,Wherever found,8,Pacific Southwest Region,P,Endangered
8951,Flowering Plants,Haiwale,Haiwale,,Cyrtandra paliku,Listed,Region 1,9953,Wherever found,1,Pacific Region,P,Endangered
6338,Flowering Plants,"Rush-rose, island",Island rush-rose,,Helianthemum greenei,Listed,Region 8,557,Wherever found,8,Pacific Southwest Region,P,Threatened
7058,Flowering Plants,"Goldfields, Contra Costa",Contra Costa goldfields,,Lasthenia conjugens,Listed,Region 8,566,Wherever found,8,Pacific Southwest Region,P,Endangered
5970,Flowering Plants,"Evening-primrose, Antioch Dunes",Antioch Dunes evening-primrose,,Oenothera deltoides ssp. howellii,Listed,Region 8,784,Wherever found,8,Pacific Southwest Region,P,Endangered
4271,Flowering Plants,"Milk-vetch, Ash meadows",Ash meadows milk-vetch,,Astragalus phoenix,Listed,Region 8,641,Wherever found,8,Pacific Southwest Region,P,Threatened
7101,Flowering Plants,No common name,No common name,,Schiedea helleri,Listed,Region 1,1067,Wherever found,1,Pacific Region,P,Endangered
2648,Flowering Plants,No common name,No common name,,Viola helenae,Listed,Region 1,864,Wherever found,1,Pacific Region,P,Endangered
3739,Flowering Plants,Harperella,Harperella,,Ptilimnium nodosum,Listed,Region 5,991,Wherever found,5,Northeast Region,P,Endangered
3359,Flowering Plants,"Reed-mustard, Barneby",Barneby reed-mustard,,Schoenocrambe barnebyi,Listed,Region 6,1037,Wherever found,6,Mountain Prairie Region,P,Endangered
9245,Flowering Plants,No common name,No common name,,Phyllostegia haliakalae,Listed,Region 1,10230,Wherever found,1,Pacific Region,P,Endangered
1892,Flowering Plants,"Manioc, Walker's",Walker's manioc,,Manihot walkerae,Listed,Region 2,763,Wherever found,2,Southwest Region,P,Endangered
104,Flowering Plants,"Bladderpod, white",White bladderpod,,Physaria pallida,Listed,Region 2,1029,Wherever found,2,Southwest Region,P,Endangered
3282,Flowering Plants,"Sandalwood, Lanai (=`iliahi)",Lanai sandalwood (=`iliahi),,Santalum haleakalae var. lanaiense,Listed,Region 1,993,Wherever found,1,Pacific Region,P,Endangered
6394,Flowering Plants,No common name,No common name,,Wikstroemia skottsbergiana,Listed,Region 1,7840,,1,Pacific Region,P,Endangered
7600,Flowering Plants,Liliwai,Liliwai,,Acaena exigua,Listed,Region 1,619,Wherever found,1,Pacific Region,P,Endangered
2931,Flowering Plants,"Sunburst, San Joaquin adobe",San Joaquin adobe sunburst,,Pseudobahia peirsonii,Listed,Region 8,600,Wherever found,8,Pacific Southwest Region,P,Threatened
6390,Flowering Plants,"Mint, Lakela's",Lakela's mint,,Dicerandra immaculata,Listed,Region 4,696,,4,Southeast Region,P,Endangered
5250,Flowering Plants,No common name,No common name,,Schoepfia arenaria,Listed,Region 4,1072,Wherever found,4,Southeast Region,P,Threatened
557,Flowering Plants,"Alopecurus, Sonoma",Sonoma alopecurus,,Alopecurus aequalis var. sonomensis,Listed,Region 8,498,Wherever found,8,Pacific Southwest Region,P,Endangered
3594,Flowering Plants,Makou,Makou,,Ranunculus mauiensis,Listed,Region 1,3292,Wherever found,1,Pacific Region,P,Endangered
6308,Flowering Plants,`Akoko,`Akoko,,Euphorbia kuwaleana,Listed,Region 1,1094,Wherever found,1,Pacific Region,P,Endangered
5244,Flowering Plants,haha,haha,,Cyanea dunbariae,Listed,Region 1,1101,Wherever found,1,Pacific Region,P,Endangered
276,Flowering Plants,Haha,Haha,,Cyanea undulata,Listed,Region 1,1107,Wherever found,1,Pacific Region,P,Endangered
6396,Flowering Plants,Pelos del diablo,Pelos del diablo,,Aristida portoricensis,Listed,Region 4,883,Wherever found,4,Southeast Region,P,Endangered
7437,Flowering Plants,`Ala `ala wai nui,`Ala `ala wai nui,,Peperomia subpetiolata,Listed,Region 1,2683,Wherever found,1,Pacific Region,P,Endangered
8025,Flowering Plants,"Barberry, Nevin's",Nevin's barberry,,Berberis nevinii,Listed,Region 8,514,Wherever found,8,Pacific Southwest Region,P,Endangered
