Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ACRU14,ACCO26,Actaea cordifolia auct. non DC.,,Ranunculaceae,Virginia
ACRU14,CICO4,Cimicifuga cordifolia auct. non (DC.) Torr. & A. Gray,,Ranunculaceae,Virginia
ACRU14,CIRAC3,Cimicifuga racemosa (L.) Nutt. var. cordifolia auct. non (DC.) A. Gray,,Ranunculaceae,Virginia
ACRU14,CIRU,Cimicifuga rubifolia Kearney,,Ranunculaceae,Virginia
ACRUD,,Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.,Drummond's maple,Aceraceae,Virginia
ACRUD,ACDR,Acer drummondii Hook. & Arn. ex Nutt.,,Aceraceae,Virginia
ACRUD,ACRUD2,Acer rubrum L. ssp. drummondii (Hook. & Arn. ex Nutt.) A.E. Murray,,Aceraceae,Virginia
ACRUD,RUDR3,Rufacer drummondii (Hook. & Arn. ex Nutt.) Small,,Aceraceae,Virginia
ACRUR,,Acer rubrum L. var. rubrum,red maple,Aceraceae,Virginia
ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,,Aceraceae,Virginia
ACRUR,ACST,Acer stenocarpum Britton,,Aceraceae,Virginia
ACRUR,RURU5,Rufacer rubrum (L.) Small,,Aceraceae,Virginia
ACRUT,,Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch,red maple,Aceraceae,Virginia
ACRUT,ACCA9,Acer carolinianum Walter,,Aceraceae,Virginia
ACRUT,ACRUT3,Acer rubrum L. var. tridens Alph. Wood,,Aceraceae,Virginia
ACRUT,RUCA7,Rufacer carolinianum (Walter) Small,,Aceraceae,Virginia
ACSA2,,Acer saccharinum L.,silver maple,Aceraceae,Virginia
ACSA2,ACDA2,Acer dasycarpum Ehrh.,,Aceraceae,Virginia
ACSA2,ACSAL3,Acer saccharinum L. var. laciniatum Pax,,Aceraceae,Virginia
ACSA2,ACSAW,Acer saccharinum L. var. wieri Rehder,,Aceraceae,Virginia
ACSA2,ARSA9,Argentacer saccharinum (L.) Small,,Aceraceae,Virginia
ACSA3,,Acer saccharum Marshall,sugar maple,Aceraceae,Virginia
ACSAS,,Acer saccharum Marshall var. saccharum,sugar maple,Aceraceae,Virginia
ACSAS,ACNIG,Acer nigrum Michx. f. var. glaucum (F. Schmidt) Fosberg,,Aceraceae,Virginia
ACSAS,ACNIS2,Acer nigrum Michx. f. var. saccharophorum (K. Koch) R.T. Clausen,,Aceraceae,Virginia
ACSAS,ACSAG,Acer saccharum Marshall var. glaucum (F. Schmidt) Sarg.,,Aceraceae,Virginia
ACSAS,ACSAR,Acer saccharum Marshall var. rugellii (Pax) Rehder,,Aceraceae,Virginia
ACSAS,SASA18,Saccharodendron saccharum (Marshall) Moldenke,,Aceraceae,Virginia
ACSP2,,Acer spicatum Lam.,mountain maple,Aceraceae,Virginia
ACTAE,,Actaea L.,baneberry,Ranunculaceae,Virginia
ACUN,,Aconitum uncinatum L.,southern blue monkshood,Ranunculaceae,Virginia
ACUNM,,Aconitum uncinatum L. ssp. muticum (DC.) Hardin,southern blue monkshood,Ranunculaceae,Virginia
ACUNM,ACUNM2,Aconitum uncinatum L. var. muticum DC.,,Ranunculaceae,Virginia
ACUNU,,Aconitum uncinatum L. ssp. uncinatum,southern blue monkshood,Ranunculaceae,Virginia
ACUNU,ACUNA,Aconitum uncinatum L. var. acutidens Fernald,,Ranunculaceae,Virginia
ACVI,,Acalypha virginica L.,Virginia threeseed mercury,Euphorbiaceae,Virginia
ADCA,,Adiantum capillus-veneris L.,common maidenhair,Pteridaceae,Virginia
ADCA,ADCAM,Adiantum capillus-veneris L. var. modestum (Underw.) Fernald,,Pteridaceae,Virginia
ADCA,ADCAP,Adiantum capillus-veneris L. var. protrusum Fernald,,Pteridaceae,Virginia
ADCA,ADMO2,Adiantum modestum Underw.,,Pteridaceae,Virginia
ADFU,,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine,Fumariaceae,Virginia
ADIAN,,Adiantum L.,maidenhair fern,Pteridaceae,Virginia
ADLUM,,Adlumia Raf. ex DC.,adlumia,Fumariaceae,Virginia
ADPE,,Adiantum pedatum L.,northern maidenhair,Pteridaceae,Virginia
AECY,,Aegilops cylindrica Host,jointed goatgrass,Poaceae,Virginia
AECY,AECYR,Aegilops cylindrica Host var. rubiginosa Popova,,Poaceae,Virginia
AECY,AETA3,Aegilops tauschii auct. non Coss.,,Poaceae,Virginia
AECY,CYCY5,Cylindropyrum cylindricum (Host) Á. Löve,,Poaceae,Virginia
AECY,TRCY3,"Triticum cylindricum (Host) Ces., Pass. & Gibelli",,Poaceae,Virginia
AEFL,,Aesculus flava Aiton,yellow buckeye,Hippocastanaceae,Virginia
AEFL,AEOC2,Aesculus octandra Marshall,,Hippocastanaceae,Virginia
AEFL,AEOCV,Aesculus octandra Marshall var. vestita Sarg.,,Hippocastanaceae,Virginia
AEFL,AEOCV2,Aesculus octandra Marshall var. virginica Sarg.,,Hippocastanaceae,Virginia
AEGE,,Aegilops geniculata Roth,ovate goatgrass,Poaceae,Virginia
AEGE,AEOV2,Aegilops ovata L. p.p.,,Poaceae,Virginia
AEGE,TROV4,Triticum ovatum (L.) Gren. & Godr. p.p.,,Poaceae,Virginia
AEGIL,,Aegilops L.,goatgrass,Poaceae,Virginia
AEGL,,Aesculus glabra Willd.,Ohio buckeye,Hippocastanaceae,Virginia
AEGOP,,Aegopodium L.,goutweed,Apiaceae,Virginia
AEHI,,Aesculus hippocastanum L.,horse chestnut,Hippocastanaceae,Virginia
AEHY,,Aesculus ×hybrida DC. (pro sp.) [flava × pavia],buckeye,Hippocastanaceae,Virginia
AEIN,,Aeschynomene indica L.,Indian jointvetch,Fabaceae,Virginia
AENE,,Aesculus ×neglecta Lindl. (pro sp.) [flava × sylvatica],buckeye,Hippocastanaceae,Virginia
AENE,AEGL2,Aesculus ×glaucescens Sarg.,,Hippocastanaceae,Virginia
AENE2,,Aegilops neglecta Req. ex Bertol.,three-awned goatgrass,Poaceae,Virginia
AEPA,,Aesculus pavia L.,red buckeye,Hippocastanaceae,Virginia
AEPAP,,Aesculus pavia L. var. pavia,red buckeye,Hippocastanaceae,Virginia
AEPAP,AEAU,Aesculus austrina Small,,Hippocastanaceae,Virginia
AEPAP,AEDI,Aesculus discolor Pursh,,Hippocastanaceae,Virginia
AEPAP,AEDIM,Aesculus discolor Pursh var. mollis (Raf.) Sarg.,,Hippocastanaceae,Virginia
AEPAP,AEPAD,Aesculus pavia L. var. discolor (Pursh) A. Gray,,Hippocastanaceae,Virginia
AEPAP,AESP,Aesculus splendens Sarg.,,Hippocastanaceae,Virginia
AEPO,,Aegopodium podagraria L.,bishop's goutweed,Apiaceae,Virginia
AEPO,AEPOV,Aegopodium podagraria L. var. variegatum L.H. Bailey,,Apiaceae,Virginia
AESCH,,Aeschynomene L.,jointvetch,Fabaceae,Virginia
AESCU,,Aesculus L.,buckeye,Hippocastanaceae,Virginia
AESY,,Aesculus sylvatica W. Bartram,painted buckeye,Hippocastanaceae,Virginia
AESY,AEGE2,Aesculus georgiana Sarg.,,Hippocastanaceae,Virginia
AESY,AESYL,Aesculus sylvatica W. Bartram var. lanceolata (Sarg.) W. Bartram,,Hippocastanaceae,Virginia
AEVI3,,"Aeschynomene virginica (L.) Britton, Sterns & Poggenb.",Virginia jointvetch,Fabaceae,Virginia
AGAL5,,Ageratina altissima (L.) R.M. King & H. Rob.,white snakeroot,Asteraceae,Virginia
AGALA,,Ageratina altissima (L.) R.M. King & H. Rob. var. altissima,white snakeroot,Asteraceae,Virginia
AGALA,AGAL9,"Ageratum altissimum L., non Eupatorium altissimum L.",,Asteraceae,Virginia
AGALA,EURU6,Eupatorium rugosum Houtt.,,Asteraceae,Virginia
AGALA,EURUC,Eupatorium rugosum Houtt. var. chlorolepis Fernald,,Asteraceae,Virginia
AGALA,EURUT,Eupatorium rugosum Houtt. var. tomentellum (B.L. Rob.) S.F. Blake,,Asteraceae,Virginia
AGALA,EURUV,Eupatorium rugosum Houtt. var. villicaule (Fernald) S.F. Blake,,Asteraceae,Virginia
AGALA,EUURT,Eupatorium urticifolium Reichard var. tomentellum B.L. Rob.,,Asteraceae,Virginia
AGALI,,Agalinis Raf.,false foxglove,Scrophulariaceae,Virginia
AGALR,,Ageratina altissima (L.) R.M. King & H. Rob. var. roanensis (Small) Clewell & Wooten,white snakeroot,Asteraceae,Virginia
AGALR,EURO8,Eupatorium roanense Small,,Asteraceae,Virginia
AGALR,EURUR,Eupatorium rugosum Houtt. var. roanense (Small) Fernald,,Asteraceae,Virginia
AGALR,EUUR4,Eupatorium urticifolium Reichard,,Asteraceae,Virginia
AGAR4,,Ageratina aromatica (L.) Spach,lesser snakeroot,Asteraceae,Virginia
