Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ALBE,ALTEV,Alternanthera tenella Colla var. versicolor (Lem.) Veldkamp,,Amaranthaceae,Virgin Islands
ALBIZ,,Albizia Durazz.,albizia,Fabaceae,Virgin Islands
ALBR5,,Alternanthera brasiliana (L.) Kuntze,Brazilian joyweed,Amaranthaceae,Virgin Islands
ALBR5,ACBR2,Achyranthes brasiliana (L.) Standl.,,Amaranthaceae,Virgin Islands
ALBR5,ALDE2,Alternanthera dentata (Moench) Stuchlik ex R.E. Fries,,Amaranthaceae,Virgin Islands
ALBR5,ALJA,Alternanthera jacquinii (Schrad.) Griseb. ex Kuntze,,Amaranthaceae,Virgin Islands
ALBR5,GOBR3,Gomphrena brasiliana L.,,Amaranthaceae,Virgin Islands
ALCA5,,Alternanthera caracasana Kunth,washerwoman,Amaranthaceae,Virgin Islands
ALCA5,ACPE3,Achyranthes peploides (Humb. & Bonpl. ex Schult.) Britton & P. Wilson,,Amaranthaceae,Virgin Islands
ALCA5,ALPE6,Alternanthera peploides (Humb. & Bonpl. ex Schult.) Urb.,,Amaranthaceae,Virgin Islands
ALCA7,,Allamanda cathartica L.,golden trumpet,Apocynaceae,Virgin Islands
ALCA7,ALCAG,Allamanda cathartica L. var. grandiflora (Aubl.) L.H. Bailey & C.P. Raffill,,Apocynaceae,Virgin Islands
ALCHO,,Alchornea Sw.,alchornea,Euphorbiaceae,Virgin Islands
ALCR8,,Alternanthera crucis (Moq.) Boldingh,West Indian joyweed,Amaranthaceae,Virgin Islands
ALCR8,ACPO5,Achyranthes portoricensis (Kuntze) Standl.,,Amaranthaceae,Virgin Islands
ALCR8,ALDO2,Alternanthera dolichocephala (Urb.) Urb.,,Amaranthaceae,Virgin Islands
ALCR8,ALPO5,Alternanthera portoricensis Kuntze,,Amaranthaceae,Virgin Islands
ALEUR,,Aleurites J.R. Forst. & G. Forst.,aleurites,Euphorbiaceae,Virgin Islands
ALFI8,,Alternanthera ficoidea (L.) P. Beauv.,sanguinaria,Amaranthaceae,Virgin Islands
ALFI8,ACFI2,Achyranthes ficoidea auct. non (L.) Lam.,,Amaranthaceae,Virgin Islands
ALFI8,ALTE4,Alternanthera tenella Colla,,Amaranthaceae,Virgin Islands
ALFL,,Alternanthera flavescens Kunth,yellow joyweed,Amaranthaceae,Virgin Islands
ALFL,ACRA2,Achyranthes ramosissima auct. non (Mart.) Standl.,,Amaranthaceae,Virgin Islands
ALFL,ALFL4,Alternanthera floridana (Chapm.) Small,,Amaranthaceae,Virgin Islands
ALFL,ALRA3,Alternanthera ramosissima auct. non (Mart.) Chod.,,Amaranthaceae,Virgin Islands
ALLA,,Alchornea latifolia Sw.,achiotillo,Euphorbiaceae,Virgin Islands
ALLAM,,Allamanda L.,allamanda,Apocynaceae,Virgin Islands
