Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
CAHY3,CALAL8,Carex lacustris Willd. var. laxiflora Dewey,,Cyperaceae,Louisiana
CAHY3,CARI7,Carex riparia auct. non M.A. Curtis,,Cyperaceae,Louisiana
CAHY3,CARII,Carex riparia M.A. Curtis var. impressa S.H. Wright,,Cyperaceae,Louisiana
CAIL2,,Carya illinoinensis (Wangenh.) K. Koch,PECAN,Juglandaceae,Louisiana
CAIL2,CAOL6,Carya oliviformis (Michx. f.) Nutt.,,Juglandaceae,Louisiana
CAIL2,CAPE26,Carya pecan (Marshall) Engl. & Graebn.,,Juglandaceae,Louisiana
CAIL2,HIPE,Hicoria pecan (Marshall) Britton,,Juglandaceae,Louisiana
CAIN12,,Carex intumescens Rudge,greater bladder sedge,Cyperaceae,Louisiana
CAIN12,CAINF,Carex intumescens Rudge var. fernaldii L.H. Bailey,,Cyperaceae,Louisiana
CAIN13,,Castilleja indivisa Engelm.,entireleaf Indian paintbrush,Scrophulariaceae,Louisiana
CAIN19,,Canna indica L.,Indian shot,Cannaceae,Louisiana
CAIN19,CACO23,Canna coccinea Mill.,,Cannaceae,Louisiana
CAIN19,CAED2,Canna edulis Ker Gawl.,,Cannaceae,Louisiana
CAIN2,,Callirhoe involucrata (Torr. & A. Gray) A. Gray,purple poppymallow,Malvaceae,Louisiana
CAINI4,,Callirhoe involucrata (Torr. & A. Gray) A. Gray var. involucrata,purple poppymallow,Malvaceae,Louisiana
CAINI4,CAINN2,Callirhoe involucrata (Torr. & A. Gray) A. Gray var. novomexicana Baker f.,,Malvaceae,Louisiana
CAJA7,,Cayratia japonica (Thunb.) Gagnep.,bushkiller,Vitaceae,Louisiana
CAJO2,,Carex joorii L.H. Bailey,cypress swamp sedge,Cyperaceae,Louisiana
CAKIL,,Cakile Mill.,searocket,Brassicaceae,Louisiana
CAKR5,,Carex kraliana Naczi & Bryson,Kral's sedge,Cyperaceae,Louisiana
CALA19,,Carex laxiflora Lam.,broad looseflower sedge,Cyperaceae,Louisiana
CALA2,,Cakile lanceolata (Willd.) O.E. Schulz,coastal searocket,Brassicaceae,Louisiana
CALA21,,Carya laciniosa (Michx. f.) G. Don,SHELLBARK HICKORY,Juglandaceae,Louisiana
CALA21,HILA7,Hicoria laciniosa (Michx. f.) Sarg.,,Juglandaceae,Louisiana
CALAD,,Caladium Vent.,caladium,Araceae,Louisiana
CALAF,,Cakile lanceolata (Willd.) O.E. Schulz ssp. fusiformis (Greene) Rodman,coastal searocket,Brassicaceae,Louisiana
CALAF,CACH20,Cakile chapmanii Millsp.,,Brassicaceae,Louisiana
CALAF,CAFU3,Cakile fusiformis Greene,,Brassicaceae,Louisiana
CALAL2,,Cakile lanceolata (Willd.) O.E. Schulz ssp. lanceolata,coastal searocket,Brassicaceae,Louisiana
CALAL2,RALA5,Raphanus lanceolatus Willd.,,Brassicaceae,Louisiana
CALAM,,Calamagrostis Adans.,reedgrass,Poaceae,Louisiana
CALAP,,Cakile lanceolata (Willd.) O.E. Schulz ssp. pseudoconstricta Rodman,coastal searocket,Brassicaceae,Louisiana
CALAS,,Carex laxiflora Lam. var. serrulata F.J. Herm.,broad looseflower sedge,Cyperaceae,Louisiana
CALE10,,Carex leptalea Wahlenb.,bristlystalked sedge,Cyperaceae,Louisiana
CALE13,,Carya ×lecontei Little [aquatica × illinoinensis],Leconte hickory,Juglandaceae,Louisiana
CALE13,HITE2,Hicoria texana Leconte,,Juglandaceae,Louisiana
CALE6,,Carex leavenworthii Dewey,Leavenworth's sedge,Cyperaceae,Louisiana
CALE6,CACEA,Carex cephalophora Muhl. ex Willd. var. angustifolia Boott,,Cyperaceae,Louisiana
CALE6,CACEL,Carex cephalophora Muhl. ex Willd. var. leavenworthii (Dewey) Kük.,,Cyperaceae,Louisiana
CALEH,,Carex leptalea Wahlenb. ssp. harperi (Fernald) W. Stone,Harper's sedge,Cyperaceae,Louisiana
CALEH,CAHA19,Carex harperi Fernald,,Cyperaceae,Louisiana
CALEH,CALEH3,Carex leptalea Wahlenb. var. harperi (Fernald) Weath. & Grisc.,,Cyperaceae,Louisiana
