Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ALAD,,Albizia adinocephala (Donn. Sm.) Britton & Rose ex Record,cream albizia,Fabaceae,Puerto Rico
ALAM5,,Alsophila amintae Conant,forest alsophila,Cyatheaceae,Puerto Rico
ALAM5,ALDR3,Alsophila dryopteroides (Maxon) R. Tryon,,Cyatheaceae,Puerto Rico
ALAM5,CYDR2,Cyathea dryopteroides Maxon,,Cyatheaceae,Puerto Rico
ALBE,,Alternanthera bettzichiana (Regel) Voss,calicoplant,Amaranthaceae,Puerto Rico
ALBE,ACBE3,Achyranthes bettzichiana (Regel) Standl.,,Amaranthaceae,Puerto Rico
ALBE,ACFIB,Achyranthes ficoidea (L.) Lam. ssp. bettzichiana (Regel) Baker,,Amaranthaceae,Puerto Rico
ALBE,ALAM11,Alternanthera amoena (Lemaire) Voss,,Amaranthaceae,Puerto Rico
ALBE,ALTEV,Alternanthera tenella Colla var. versicolor (Lem.) Veldkamp,,Amaranthaceae,Puerto Rico
ALBIZ,,Albizia Durazz.,albizia,Fabaceae,Puerto Rico
ALBL,,Allamanda blanchetii A. DC.,purple allamanda,Apocynaceae,Puerto Rico
ALBR3,,Alsophila brooksii (Maxon) R. Tryon,Brooks' alsophila,Cyatheaceae,Puerto Rico
ALBR3,CYBR7,Cyathea brooksii Maxon,,Cyatheaceae,Puerto Rico
ALBR4,,Alsophila bryophila R. Tryon,helecho gigante de la sierra,Cyatheaceae,Puerto Rico
ALBR4,CYBR10,Cyathea bryophila (R. Tryon) Proctor,,Cyatheaceae,Puerto Rico
ALBR4,CYPU14,"Cyathea pubescens sensu Maxon, non Mett. ex Kuhn",,Cyatheaceae,Puerto Rico
ALBR5,,Alternanthera brasiliana (L.) Kuntze,Brazilian joyweed,Amaranthaceae,Puerto Rico
ALBR5,ACBR2,Achyranthes brasiliana (L.) Standl.,,Amaranthaceae,Puerto Rico
ALBR5,ALDE2,Alternanthera dentata (Moench) Stuchlik ex R.E. Fries,,Amaranthaceae,Puerto Rico
ALBR5,ALJA,Alternanthera jacquinii (Schrad.) Griseb. ex Kuntze,,Amaranthaceae,Puerto Rico
