Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABWR,,Abutilon wrightii A. Gray,wright abutilon,Malvaceae,Texas
ACAC,,Acleisanthes acutifolia Standl.,needletip trumpets,Nyctaginaceae,Texas
ACACI2,,Acaciella Britton & Rose,,Fabaceae,Texas
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Texas
ACAN11,,Acaciella angustissima (Mill.) Britton & Rose,prairie acacia,Fabaceae,Texas
ACAN11,ACAN,Acacia angustissima (Mill.) Kuntze,,Fabaceae,Texas
ACAN2,,Acleisanthes anisophylla A. Gray,obliqueleaf trumpets,Nyctaginaceae,Texas
ACANC3,,Acaciella angustissima (Mill.) Britton & Rose var. chisosiana (Isely) B.L. Turner,Chisos prairie acacia,Fabaceae,Texas
ACANC3,ACANC,Acacia angustissima (Mill.) Kuntze var. chisosiana Isely,,Fabaceae,Texas
ACANH2,,Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner,prairie acacia,Fabaceae,Texas
ACANH2,ACANC2,Acacia angustissima (Mill.) Kuntze var. cuspidata (Schltdl.) L.D. Benson,,Fabaceae,Texas
ACANH2,ACANH,Acacia angustissima (Mill.) Kuntze var. hirta (Nutt.) B.L. Rob.,,Fabaceae,Texas
ACANH2,ACANT4,Acacia angustissima (Mill.) Kuntze var. texensis (Torr. & A. Gray) Isely,,Fabaceae,Texas
ACANH2,ACCU,Acacia cuspidata Schltdl.,,Fabaceae,Texas
ACANH2,ACHI3,Acacia hirta Nutt.,,Fabaceae,Texas
ACANH2,ACTE2,Acacia texensis Torr. & A. Gray,,Fabaceae,Texas
ACANH2,ACANT5,Acaciella angustissima (Mill.) Britton & Rose var. texensis (Torr. & A. Gray) L. Rico,,Fabaceae,Texas
ACANH2,ACHI4,Acaciella hirta (Nutt.) Britton & Rose,,Fabaceae,Texas
ACANT3,,Acanthospermum Schrank,starbur,Asteraceae,Texas
ACANT6,,Acanthocereus (Engelm. ex A. Berger) Britton & Rose,triangle cactus,Cactaceae,Texas
ACAR14,,Achnatherum aridum (M.E. Jones) Barkworth,Achnatherum aridum,Poaceae,Texas
ACAR14,STAR2,Stipa arida M.E. Jones,,Poaceae,Texas
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Texas
ACAS,,Achyranthes aspera L.,devil's horsewhip,Amaranthaceae,Texas
ACAS,ACCA37,Achyranthes canescens R. Br.,,Amaranthaceae,Texas
ACASP,,Achyranthes aspera L. var. pubescens (Moq.) Townsend,devil's horsewhip,Amaranthaceae,Texas
ACAU2,,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,Asteraceae,Texas
ACAU2,ACXA,Acanthospermum xanthioides DC.,,Asteraceae,Texas
ACAU2,MEAU,Melampodium australe Loefl.,,Asteraceae,Texas
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Texas
ACCL7,,Achnatherum clandestinum (Hack.) Barkworth,Mexican ricegrass,Poaceae,Texas
ACCL7,STCL5,Stipa clandestina Hack.,,Poaceae,Texas
ACCR,,Acleisanthes crassifolia A. Gray,Texas trumpets,Nyctaginaceae,Texas
ACCU6,,Achnatherum curvifolium (Swallen) Barkworth,Guadalupe ricegrass,Poaceae,Texas
ACCU6,STCU2,Stipa curvifolia Swallen,,Poaceae,Texas
ACEM4,,Achnatherum eminens (Cav.) Barkworth,southwestern needlegrass,Poaceae,Texas
ACEM4,STEM2,Stipa eminens Cav.,,Poaceae,Texas
ACER,,Acer L.,maple,Aceraceae,Texas
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple,Aceraceae,Texas
ACFL,ACBA3,Acer barbatum Michx. p.p.,,Aceraceae,Texas
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fernald,,Aceraceae,Texas
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) Ashe,,Aceraceae,Texas
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fernald,,Aceraceae,Texas
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Rehder,,Aceraceae,Texas
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.) Fosberg,,Aceraceae,Texas
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,,Aceraceae,Texas
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chapm.) Desmarais,,Aceraceae,Texas
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chapm.) Small & A. Heller,,Aceraceae,Texas
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,,Aceraceae,Texas
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,,Aceraceae,Texas
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,Texas
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Texas
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Texas
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Texas
ACGR3,,Acer grandidentatum Nutt.,bigtooth maple,Aceraceae,Texas
ACGRG,,Acer grandidentatum Nutt. var. grandidentatum,uvalde bigtooth maple,Aceraceae,Texas
